int,-O0,1000000,0.002416,0.002416,0.002412,0.002419,1655953955.537885,18967420360
double,-O0,1000000,0.002528,0.002529,0.002520,0.002532,3164688782.329422,5000379116930.000000
int,-O0,10000000,0.024697,0.024677,0.024658,0.024821,1619639915.580318,5058034430
double,-O0,10000000,0.026072,0.026060,0.025985,0.026203,3068411480.499909,50001581311710.000000
int,-O0,100000000,0.246832,0.246787,0.246705,0.247071,1620534201.126373,15604412400
double,-O0,100000000,0.261625,0.261734,0.260797,0.262500,3057810827.793149,499902747802570.000000
int,-O2,1000000,0.000355,0.000353,0.000353,0.000360,11256726245.704502,18967420360
double,-O2,1000000,0.001095,0.001095,0.001093,0.001097,7307258720.254204,5000379116930.000000
int,-O2,10000000,0.005900,0.005886,0.005874,0.005982,6779662625.682654,5058034430
double,-O2,10000000,0.013617,0.013586,0.013404,0.013817,5875145476.863932,50001581311710.000000
int,-O2,100000000,0.059211,0.059239,0.058784,0.059618,6755519195.850018,15604412400
double,-O2,100000000,0.136738,0.137294,0.133654,0.139363,5850611318.456043,499902747802570.000000
int,-O3,1000000,0.000357,0.000356,0.000354,0.000366,11194566605.152525,18967420360
double,-O3,1000000,0.001118,0.001119,0.001107,0.001126,7156412794.413704,5000379116930.000000
int,-O3,10000000,0.005931,0.005878,0.005854,0.006363,6744672058.953289,5058034430
double,-O3,10000000,0.013685,0.013712,0.013530,0.013889,5845823165.924498,50001581311710.000000
int,-O3,100000000,0.059150,0.059102,0.058599,0.060153,6762424605.263159,15604412400
double,-O3,100000000,0.136141,0.136556,0.133843,0.138207,5876272848.076342,499902747802570.000000
